price,brand,ram,ram_type,display_size,display_type,pixels,screen_rate,screen_panel,length,width,height,cpu_brand,gpu_brand,hdd,ssd,OS,weight,cpu_point,gpu_point,fingerprint_reader,web_camera
999.0,LG,8.0,LPDDR5,14.0,WUXGA,2304000.0,60.0,IPS,313.9,219.4,16.7,INTEL,INTEL,0.0,1000.0,WINDOWS,1.25,9933.0,1435.0,1.0,0.0
1639.99,HP,64.0,DDR4,14.0,FHD,2073600.0,60.0,IPS,321.81,213.86,19.9,INTEL,INTEL,0.0,2000.0,WINDOWS,1.37,7916.0,1097.0,1.0,0.0
1349.0,ASUS,32.0,DDR4,15.6,FHD,2073600.0,144.0,IPS,359.0,256.0,22.8,AMD,NVIDIA,0.0,1000.0,WINDOWS,2.3,13081.0,7722.0,1.0,0.0
2249.0,ASUS,16.0,DDR4,15.6,QHD,3686400.0,165.0,IPS,355.0,243.0,19.9,AMD,NVIDIA,0.0,1000.0,WINDOWS,1.9,13179.0,7722.0,1.0,0.0
1249.99,ASUS,16.0,LPDDR5,14.0,2.8K,5184000.0,90.0,OLED,311.2,221.1,15.9,INTEL,INTEL,0.0,1000.0,WINDOWS,1.3,15486.0,1435.0,1.0,0.0
869.0,HP,16.0,DDR4,15.6,HD,1049088.0,60.0,TN,358.0,242.0,19.0,INTEL,INTEL,0.0,2000.0,WINDOWS,1.7,7885.0,1435.0,1.0,0.0
1045.0,HP,16.0,DDR4,14.0,WUXGA,2304000.0,60.0,IPS,316.0,224.0,19.2,INTEL,INTEL,0.0,1000.0,WINDOWS,1.36,4769.0,1097.0,1.0,0.0
1664.47,HP,16.0,LPDDR5,13.3,WUXGA,2304000.0,60.0,IPS,299.97,216.15,19.3,INTEL,INTEL,0.0,256.0,WINDOWS,1.3,7779.0,1097.0,1.0,0.0
879.99,HP,16.0,DDR4,15.6,FHD,2073600.0,60.0,IPS,358.9,228.0,18.4,AMD,AMD,0.0,512.0,WINDOWS,1.86,10523.0,1129.0,1.0,0.0
2314.0,MSI,32.0,DDR4,17.3,FHD,2073600.0,144.0,IPS,398.0,273.0,27.2,INTEL,NVIDIA,0.0,2000.0,WINDOWS,2.8,15486.0,10741.0,1.0,0.0
1789.0,LENOVO,24.0,DDR4,14.0,FHD,2073600.0,60.0,IPS,324.0,220.7,17.9,AMD,AMD,0.0,2000.0,WINDOWS,1.64,8919.0,1129.0,0.0,1.0
1969.0,MSI,32.0,DDR4,15.6,FHD,2073600.0,144.0,IPS,358.0,267.0,23.4,INTEL,NVIDIA,0.0,1000.0,WINDOWS,2.38,12390.0,10741.0,1.0,0.0
4124.0,MSI,64.0,DDR5,15.6,QHD,3686400.0,240.0,IPS,358.0,267.0,23.4,INTEL,NVIDIA,0.0,1000.0,WINDOWS,2.38,15486.0,12769.0,1.0,0.0
579.99,HP,8.0,DDR4,15.6,HD,1049088.0,60.0,TN,358.0,242.0,17.9,INTEL,INTEL,0.0,512.0,WINDOWS,1.7,5002.0,1097.0,0.0,1.0
3159.0,HP,16.0,DDR4,14.0,FHD,2073600.0,60.0,IPS,323.3,214.6,17.9,INTEL,INTEL,0.0,8000.0,WINDOWS,1.32,5125.0,1435.0,1.0,0.0
