Product Name,Product Link,Processor,Internal memory,Video card,Display,Solid-state drive,Price,Hard drive
HP 17,https://laptopmedia.com/laptop-specs/hp-17-14815/,Intel Core i7-1165G7,64GB RAM,Intel Iris Xe Graphics G7 (96EU),"17.3”, Full HD (1920 x 1080), IPS",2000GB SSD,$154999,
LG Gram 15,https://laptopmedia.com/laptop-specs/lg-gram-15-266/,Intel Core i7-1260P,16GB RAM,Intel Iris Xe Graphics G7 (96EU),"15.6”, Full HD (1920 x 1080), IPS",1000GB SSD,$194999,
HP ProBook 450 G9,https://laptopmedia.com/laptop-specs/hp-probook-450-g9-153/,Intel Core i7-1255U,64GB RAM,Intel Iris Xe Graphics G7 (96EU),"15.6”, Full HD (1920 x 1080), IPS",512GB SSD,$147499,
ASUS ExpertBook B5,https://laptopmedia.com/laptop-specs/asus-expertbook-b5-21/,Intel Core i7-1260P,8GB RAM,Intel Arc A350M,"16.0”, WQUXGA (3840 x 2400), OLED",1000GB SSD,$246099,
ASUS ROG Strix G15,https://laptopmedia.com/laptop-specs/asus-rog-strix-g15-760/,AMD Ryzen 7 4800H,16GB RAM,"NVIDIA GeForce RTX 3060 (Laptop, 130W)","15.6”, Full HD (1920 x 1080), 144 Hz, IPS",1000GB SSD,$129900,
HP Pavilion x360 14,https://laptopmedia.com/laptop-specs/hp-pavilion-x360-14-1900/,Intel Core i3-1125G4,16GB RAM,Intel UHD Graphics Xe G4 (48EU),"14.0”, HD (1366 x 768), TN",512GB SSD,$122900,
Dell Inspiron 3525,https://laptopmedia.com/laptop-specs/dell-inspiron-3525-150/,AMD Ryzen 7 5825U,64GB RAM,"AMD Radeon RX Vega 8 (R4000/5000, 15W)","15.6”, Full HD (1920 x 1080), 120 Hz, IPS",2000GB SSD,$113900,1000GB HDD
ASUS ROG Strix SCAR 16,https://laptopmedia.com/laptop-specs/asus-rog-strix-scar-16-5/,Intel Core i9-13980HX,64GB RAM,"NVIDIA GeForce RTX 4090 (Laptop, 175W)","16.0"", WQXGA (2560 x 1600), 240 Hz, IPS",2000GB SSD,$452900,
MSI Pulse GL76,https://laptopmedia.com/laptop-specs/msi-pulse-gl76-662/,Intel Core i7-12700H,16GB RAM,"NVIDIA GeForce RTX 3070 (Laptop, 105W)","17.3”, Full HD (1920 x 1080), 144 Hz, IPS",2000GB SSD,$270400,
HP Pavilion 15,https://laptopmedia.com/laptop-specs/hp-pavilion-15-6274/,Intel Core i7-1255U,64GB RAM,Intel Iris Xe Graphics G7 (96EU),"15.6”, Full HD (1920 x 1080), IPS",1000GB SSD,$140900,
