price,brand,ram,ram_type,display_size,display_type,resolution,screen_rate,screen_panel,length,width,height,cpu_brand,gpu_brand,ssd,os,weight,cpu_point,gpu_point,features
1044.99,LENOVO,12.0,DDR4,14.0,FHD,1920 x 1080,,IPS,324.0,220.7,17.9,AMD,AMD,512.0,WINDOWS,1.59,7983.0,914.0,WEB CAMERA
1074.0,HP,32.0,DDR4,17.3,FHD,1920 x 1080,,IPS,400.7,257.8,19.9,AMD,AMD,1000.0,WINDOWS,2.38,7135.0,914.0,WEB CAMERA
4809.99,HP,64.0,DDR5,17.3,QHD,2560 x 1440,240.0,IPS,397.25,262.12,27.0,INTEL,NVIDIA,1000.0,WINDOWS,2.79,27070.0,,FINGERPRINT READER
4985.0,HP,32.0,DDR5,16.1,FHD,1920 x 1080,,IPS,369.06,247.9,23.0,INTEL,NVIDIA,8000.0,WINDOWS,2.41,15486.0,,FINGERPRINT READER
899.0,LENOVO,16.0,DDR4,16.0,WUXGA,1920 x 1200,,IPS,361.9,255.5,20.5,INTEL,INTEL,512.0,WINDOWS,1.65,7916.0,1097.0,FINGERPRINT READER
1569.99,HP,32.0,DDR4,15.6,FHD,1920 x 1080,,IPS,358.0,242.0,17.9,INTEL,INTEL,4000.0,WINDOWS,1.7,9933.0,1435.0,WEB CAMERA
1459.99,ASUS,16.0,DDR5,15.6,FHD,1920 x 1080,144.0,IPS,354.0,251.0,19.9,INTEL,NVIDIA,1000.0,WINDOWS,2.0,13001.0,,FINGERPRINT READER
1704.0,HP,32.0,DDR4,17.3,HD+,1600 x 900,,TN,415.0,272.0,25.0,INTEL,INTEL,2000.0,WINDOWS,2.45,3056.0,,WEB CAMERA
469.0,HP,16.0,DDR4,15.6,HD,1366 x 768,,TN,358.5,242.0,19.9,INTEL,INTEL,1000.0,WINDOWS,1.75,,148.0,FINGERPRINT READER
869.0,HP,16.0,DDR4,15.6,FHD,1920 x 1080,,IPS,359.91,253.96,18.54,INTEL,INTEL,512.0,WINDOWS,1.59,,1435.0,WEB CAMERA
879.0,HP,64.0,DDR4,15.6,HD,1366 x 768,,TN,358.0,242.0,19.0,INTEL,INTEL,512.0,WINDOWS,1.7,7885.0,1435.0,FINGERPRINT READER
1148.99,ASUS,8.0,DDR4,15.6,FHD,1920 x 1080,144.0,IPS,360.0,252.0,19.9,INTEL,NVIDIA,1000.0,WINDOWS,2.0,6570.0,7238.0,FINGERPRINT READER
2319.0,HP,64.0,DDR4,14.0,FHD,1920 x 1080,,IPS,,,,INTEL,INTEL,512.0,WINDOWS,0.0,5002.0,1097.0,FINGERPRINT READER
994.99,HP,16.0,DDR4,15.6,HD,1366 x 768,,TN,358.5,242.0,19.9,INTEL,INTEL,512.0,WINDOWS,1.75,5125.0,1435.0,FINGERPRINT READER
899.99,LG,16.0,LPDDR4X,15.6,FHD,1920 x 1080,,IPS,358.0,226.0,16.8,INTEL,INTEL,1000.0,WINDOWS,1.12,5002.0,1097.0,FINGERPRINT READER
999.0,LENOVO,16.0,LPDDR5,16.0,2.5K,2560 x 1440,,IPS,361.51,249.65,19.2,INTEL,INTEL,512.0,WINDOWS,2.1,9933.0,1435.0,FINGERPRINT READER
1099.99,HP,32.0,DDR4,14.0,FHD,1920 x 1080,,IPS,321.81,213.86,19.9,INTEL,INTEL,2000.0,WINDOWS,1.37,7916.0,1097.0,FINGERPRINT READER
